category,amt,city,state,lat,long,city_pop,job,merch_lat,merch_long,trans_hour,trans_dayofweek,trans_month,customer_age,merchant_distance_km,is_fraud
health_fitness,15.54,Scotts Mills,OR,44.9897,-122.6187,1252,"""Engineer, petroleum""",45.087087,-121.699075,20,0,12,83.89048596851471,73.0651064365044,0
kids_pets,122.23,Sun City,CA,33.7467,-117.1721,54287,"""Designer, exhibition/display""",33.489664,-117.522071,21,3,12,48.25462012320329,43.20928188050394,0
grocery_pos,43.05,Sacramento,CA,38.5662,-121.3286,757530,Magazine features editor,38.114614,-122.163748,7,6,1,39.70704996577687,88.4679149589847,0
shopping_pos,118.82,Alva,WY,44.6873,-104.4414,110,"""Administrator, local government""",44.477108,-105.02185,6,2,12,47.6249144421629,51.57059931247467,0
kids_pets,70.8,Superior,AZ,33.2887,-111.0985,2872,Petroleum engineer,33.508757,-110.157573,16,4,1,31.18685831622177,90.71052711846528,0
misc_net,45.24,Cascade Locks,OR,45.671,-121.8686,1288,Barrister,46.434835,-122.250644,10,5,12,84.65434633812457,89.90551884738633,0
shopping_net,1.84,Burbank,WA,46.1966,-118.9017,3684,Musician,46.706005,-118.217094,16,5,12,39.07460643394935,77.1953665308213,0
grocery_pos,124.86,Rocky Mount,MO,38.2911,-92.7059,1847,Tax inspector,39.058066,-91.859747,5,3,12,32.18069815195072,112.55456928215958,0
personal_care,100.33,Carlotta,CA,40.507,-123.9743,1139,"""Therapist, occupational""",39.578954,-124.964071,23,4,1,67.96988364134155,133.2197271828026,0
personal_care,5.37,Greenview,CA,41.5403,-122.9366,308,Call centre manager,41.107734,-123.887751,16,1,1,60.30116358658453,92.85463146445085,0
misc_pos,46.69,Issaquah,WA,47.4974,-122.0107,50489,Osteopath,46.540623,-122.228592,4,5,12,36.824093086926766,107.6632647994822,0
shopping_pos,3.4,Glendale,CA,34.1556,-118.2322,172817,Advertising account planner,33.973069,-118.861272,19,5,12,38.40930869267625,61.39849248570342,0
grocery_pos,104.56,Norwalk,CA,33.9056,-118.0818,105549,Firefighter,34.78363,-117.764342,5,4,1,45.3223819301848,101.88976043800416,0
personal_care,18.27,Rock Springs,WY,41.606,-109.23,27971,Music therapist,41.601462,-109.213657,22,0,8,35.00889801505818,1.4495292815843246,1
personal_care,52.83,Napa,CA,38.4549,-122.2564,94014,Airline pilot,37.761895,-121.263859,19,3,1,33.4072553045859,116.0989898177038,0
misc_pos,78.94,Fields Landing,CA,40.7268,-124.2174,276,"""Scientist, audiological""",41.51092,-124.542877,9,3,1,89.6810403832991,91.3534264210316,0
shopping_pos,6.57,Moab,UT,38.5677,-109.5271,9772,Location manager,38.179363,-109.466483,17,1,12,31.096509240246405,43.50322870692952,0
misc_net,104.87,Luray,MO,40.4931,-91.8912,519,Town planner,39.916034,-91.264654,4,0,12,54.87200547570158,83.35768197091892,0
shopping_pos,8.36,Hawthorne,CA,33.9143,-118.3493,93193,"""Editor, magazine features""",33.869616,-117.800441,22,2,12,25.700205338809035,50.90371359259446,0
shopping_net,1128.66,Kirtland,NM,36.741,-108.351,6910,TEFL teacher,37.46916,-108.8658,23,0,9,64.65434633812457,92.95104728149708,1
shopping_pos,7.07,Utica,MO,39.7417,-93.6289,271,Land/geomatics surveyor,39.791828,-93.482544,12,2,12,48.70088980150582,13.694790585118817,0
food_dining,64.62,Fort Washakie,WY,43.0048,-108.8964,1645,Freight forwarder,42.546683,-108.451613,19,2,1,42.888432580424364,62.55236329360012,0
health_fitness,48.67,American Fork,UT,40.3928,-111.7941,42384,Futures trader,39.455437,-111.971504,20,0,1,26.023271731690624,105.32207000351808,0
health_fitness,74.29,Meadville,MO,39.7795,-93.3014,964,Tourist information centre manager,40.004903,-93.062177,22,3,12,46.02327173169062,32.322151675731384,0
entertainment,39.37,Rock Springs,WY,41.606,-109.23,27971,Music therapist,41.430147,-110.215697,15,3,1,34.44216290212184,84.36288512792355,0
personal_care,3.61,Altonah,UT,40.3207,-110.436,302,"""Sales professional, IT""",40.542307,-110.275451,19,0,1,28.971937029431896,28.140038713861323,0
grocery_pos,108.09,Westerville,NE,41.4193,-99.3844,73,Product designer,42.222182,-99.214071,9,5,12,85.8754277891855,90.38520614532229,0
health_fitness,3.11,Shedd,OR,44.453,-123.1065,917,Radio broadcast assistant,44.650892,-123.420023,17,0,12,25.475701574264203,33.18716384823525,0
grocery_pos,91.93,Honokaa,HI,20.0827,-155.488,4878,Physiotherapist,19.169435,-155.573568,3,3,1,52.12320328542094,101.94510917010574,0
home,39.81,Mound City,MO,40.1362,-95.2138,1631,Architect,39.932482,-95.275051,13,0,12,67.93702943189597,23.244894671440367,0
personal_care,4.04,Pueblo,CO,38.2352,-104.66,151815,Further education lecturer,37.573653,-105.025573,23,6,12,32.98015058179329,80.24895594015976,0
kids_pets,9.81,Thompson,UT,38.9999,-109.615,46,"""Surveyor, minerals""",38.800602,-110.503529,22,5,12,33.67830253251198,80.0195461265951,0
travel,5.19,Iliff,CO,40.7692,-103.0968,648,Community arts worker,40.358508,-103.298114,16,5,1,49.327857631759066,48.73035282373403,0
home,65.44,Helm,CA,36.4992,-120.0936,123,Early years teacher,35.596557,-120.709733,16,5,1,45.90828199863108,114.6393766211314,0
misc_pos,44.19,Lonetree,WY,41.0552,-110.1603,49,Research scientist (physical sciences),41.875425,-110.6244,3,6,1,37.50581793292265,99.0640291272003,0
entertainment,120.32,Issaquah,WA,47.4974,-122.0107,50489,Osteopath,47.479609,-122.201874,20,0,12,36.82956878850103,14.500135013330778,0
shopping_pos,4.92,Ruidoso,NM,33.3305,-105.6933,8874,Licensed conveyancer,33.061778,-105.965702,15,1,12,20.369609856262837,39.18273071307057,0
grocery_pos,318.43,Seligman,MO,36.5276,-93.9359,2693,"""Engineer, biomedical""",35.838851,-94.829584,22,6,10,52.662559890485966,110.89767440161806,1
grocery_pos,293.68,Albuquerque,NM,35.0561,-106.5506,641349,Charity officer,34.446637,-106.429048,2,3,2,52.05749486652977,68.67303323667535,1
gas_transport,72.95,Helm,CA,36.4992,-120.0936,123,Early years teacher,35.829606,-119.563658,0,3,1,45.90280629705681,88.35585164299874,0
shopping_pos,3.54,Fullerton,NE,41.366,-98.0054,1749,"""Surveyor, mining""",41.158853,-98.321708,16,1,12,47.64681724845996,35.06487472855158,0
health_fitness,44.78,Wheaton,MO,36.7651,-94.0492,760,Production manager,36.959165,-93.845197,22,0,1,33.37166324435318,28.1965391807742,0
travel,8.99,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",63.88437,-164.953179,19,5,1,79.17590691307323,102.88542220913382,0
personal_care,14.27,Paradise Valley,AZ,33.5494,-111.9565,17047,Building surveyor,33.657307,-112.044717,14,1,12,85.91649555099247,14.516149825725783,0
