category,amt,city,state,lat,long,city_pop,job,merch_lat,merch_long,trans_hour,trans_dayofweek,trans_month,customer_age,merchant_distance_km,is_fraud
grocery_net,14.37,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",65.654142,-164.722603,0,4,1,79.15400410677618,109.2855516118244,1
shopping_net,966.11,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",65.468863,-165.473127,15,4,1,79.15400410677618,79.85689576539214,1
misc_pos,49.61,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",65.347667,-165.914542,22,4,1,79.15400410677618,66.80791473359191,1
grocery_pos,295.26,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",64.445035,-166.080207,23,4,1,79.15400410677618,39.636227201925294,1
health_fitness,18.17,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",65.447094,-165.446843,23,4,1,79.15400410677618,77.61152919953217,1
gas_transport,20.45,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",64.088838,-165.104078,3,5,1,79.15674195756331,78.99884386210428,1
gas_transport,18.19,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",63.917785,-165.827621,3,5,1,79.15674195756331,93.46048716277448,1
grocery_pos,367.29,Browning,MO,40.029,-93.1607,602,Cytogeneticist,39.167065,-93.705245,11,5,1,64.47912388774812,106.59516626872922,1
misc_net,768.15,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",64.623325,-166.403973,18,5,1,79.15674195756331,37.76434463041917,1
misc_net,849.49,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",65.266065,-164.865352,22,5,1,79.15674195756331,68.2531612237414,1
shopping_net,1177.79,Browning,MO,40.029,-93.1607,602,Cytogeneticist,39.288305,-92.476947,22,5,1,64.47912388774812,101.04106786308141,1
grocery_pos,307.09,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",64.909145,-164.712087,22,5,1,79.15674195756331,48.50946483225814,1
kids_pets,4.58,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",65.052892,-166.067029,22,5,1,79.15674195756331,37.93850961155675,1
shopping_pos,730.78,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",65.233866,-166.550779,22,5,1,79.15674195756331,67.3269978301538,1
shopping_net,1006.4,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",65.220316,-165.005725,22,5,1,79.15674195756331,60.43360283664914,1
shopping_pos,830.72,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",65.710538,-165.986117,22,5,1,79.15674195756331,107.18545056687952,1
grocery_pos,311.92,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",64.79501,-165.670735,23,5,1,79.15674195756331,4.3828195537975265,1
shopping_pos,762.93,Browning,MO,40.029,-93.1607,602,Cytogeneticist,40.205262,-93.499211,23,5,1,64.47912388774812,34.82394665320046,1
shopping_net,855.88,Browning,MO,40.029,-93.1607,602,Cytogeneticist,40.786018,-93.301092,18,6,1,64.48186173853524,85.01168494884963,1
shopping_net,909.29,Browning,MO,40.029,-93.1607,602,Cytogeneticist,40.977312,-93.55098,23,6,1,64.48186173853524,110.48960286224056,1
gas_transport,7.04,Ravenna,NE,41.0233,-98.9041,2202,"""Solicitor, Scotland""",40.287778,-98.570998,1,5,1,44.56125941136208,86.47858320814744,1
shopping_pos,644.4,Ravenna,NE,41.0233,-98.9041,2202,"""Solicitor, Scotland""",40.834742,-99.895337,15,5,1,44.56125941136208,85.87238893635124,1
misc_net,784.77,Ravenna,NE,41.0233,-98.9041,2202,"""Solicitor, Scotland""",40.341318,-99.045651,23,5,1,44.56125941136208,76.76651345284223,1
shopping_net,1116.8,Ravenna,NE,41.0233,-98.9041,2202,"""Solicitor, Scotland""",41.192006,-99.230584,23,5,1,44.56125941136208,33.168233053490965,1
grocery_pos,320.6,Ravenna,NE,41.0233,-98.9041,2202,"""Solicitor, Scotland""",41.867565,-99.096279,0,6,1,44.563997262149215,95.23466733604374,1
grocery_pos,276.8,Ravenna,NE,41.0233,-98.9041,2202,"""Solicitor, Scotland""",41.700959,-98.207349,1,6,1,44.563997262149215,95.17929784908064,1
grocery_pos,336.2,Ravenna,NE,41.0233,-98.9041,2202,"""Solicitor, Scotland""",41.965421,-98.334757,2,6,1,44.563997262149215,114.99066563072404,1
shopping_net,994.92,San Jose,CA,37.3304,-121.7913,973849,Science writer,38.075623,-122.14827,21,6,1,63.58932238193019,88.61626545440336,1
shopping_net,1062.95,Ravenna,NE,41.0233,-98.9041,2202,"""Solicitor, Scotland""",41.942402,-98.005584,22,6,1,44.563997262149215,126.67497087267849,1
shopping_pos,770.94,Ravenna,NE,41.0233,-98.9041,2202,"""Solicitor, Scotland""",41.569284,-98.87645,22,6,1,44.563997262149215,60.754577879084955,1
misc_net,816.89,San Jose,CA,37.3304,-121.7913,973849,Science writer,37.301768,-122.469759,23,6,1,63.58932238193019,60.08291728208669,1
entertainment,510.59,Ravenna,NE,41.0233,-98.9041,2202,"""Solicitor, Scotland""",41.213009,-98.097519,23,6,1,44.563997262149215,70.78274719356021,1
grocery_pos,307.5,San Jose,CA,37.3304,-121.7913,973849,Science writer,37.5925,-122.356511,23,6,1,63.58932238193019,57.775986268957475,1
misc_net,790.35,San Jose,CA,37.3304,-121.7913,973849,Science writer,37.033841,-121.371988,23,6,1,63.58932238193019,49.6721044028452,1
shopping_net,1065.43,Ravenna,NE,41.0233,-98.9041,2202,"""Solicitor, Scotland""",41.880236,-98.612455,23,6,1,44.563997262149215,98.33798300693438,1
